Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
2006,Missouri,0.18600000000000003,0.046,0.268,0.5
2006,Montana,0.133,0.055999999999999994,0.268,0.5429999999999999
2006,Nationwide (States and DC),0.149,0.051,0.247,0.5429999999999999
2006,"Nationwide (States, DC, and Territories)",0.147,0.051,0.245,0.545
2006,Nebraska,0.138,0.048,0.23800000000000002,0.575
2006,Nevada,0.156,0.065,0.256,0.523
2006,New Hampshire,0.14300000000000002,0.044000000000000004,0.297,0.516
2006,New Jersey,0.12300000000000001,0.057,0.24100000000000002,0.579
2006,New Mexico,0.138,0.064,0.247,0.551
2006,New York,0.134,0.049,0.245,0.573
2006,North Carolina,0.17,0.051,0.24100000000000002,0.539
2006,North Dakota,0.156,0.039,0.24100000000000002,0.564
2006,Ohio,0.168,0.055999999999999994,0.243,0.5329999999999999
2006,Oklahoma,0.18899999999999997,0.062,0.237,0.512
2006,Oregon,0.136,0.048,0.257,0.5579999999999999
2006,Pennsylvania,0.166,0.049,0.255,0.53
2006,Puerto Rico,0.077,0.048,0.168,0.7070000000000001
2006,Rhode Island,0.149,0.043,0.28800000000000003,0.52
2006,South Carolina,0.165,0.057999999999999996,0.245,0.5329999999999999
2006,South Dakota,0.147,0.055999999999999994,0.248,0.5479999999999999
2006,Tennessee,0.184,0.040999999999999995,0.235,0.539
2006,Texas,0.126,0.053,0.217,0.604
2006,Utah,0.071,0.027000000000000003,0.166,0.736
2006,Vermont,0.14,0.04,0.309,0.511
2006,Virginia,0.147,0.046,0.252,0.555
2006,Virgin Islands,0.057999999999999996,0.031,0.131,0.78
2006,Washington,0.12300000000000001,0.047,0.264,0.5660000000000001
2006,West Virginia,0.213,0.045,0.247,0.496
2006,Wisconsin,0.152,0.055999999999999994,0.26,0.532
2006,Wyoming,0.16399999999999998,0.052000000000000005,0.249,0.535
2005,Alabama,0.188,0.06,0.209,0.5429999999999999
2005,Alaska,0.188,0.062,0.23800000000000002,0.512
2005,Arizona,0.13699999999999998,0.066,0.255,0.5429999999999999
2005,Arkansas,0.18100000000000002,0.054000000000000006,0.249,0.516
2005,California,0.098,0.053,0.233,0.615
2005,Colorado,0.135,0.063,0.248,0.5539999999999999
2005,Connecticut,0.124,0.040999999999999995,0.294,0.541
2005,Delaware,0.155,0.052000000000000005,0.272,0.521
2005,District of Columbia,0.11599999999999999,0.085,0.215,0.585
2005,Florida,0.152,0.065,0.267,0.516
2005,Georgia,0.16399999999999998,0.057999999999999996,0.21899999999999997,0.56
2005,Hawaii,0.121,0.049,0.262,0.568
2005,Idaho,0.133,0.046,0.22699999999999998,0.593
2005,Illinois,0.142,0.057,0.24,0.561
2005,Indiana,0.20800000000000002,0.064,0.22899999999999998,0.498
2005,Iowa,0.161,0.043,0.248,0.5479999999999999
2005,Kansas,0.136,0.042,0.244,0.578
2005,Kentucky,0.235,0.052000000000000005,0.24,0.473
2005,Louisiana,0.16399999999999998,0.061,0.21,0.565
2005,Maine,0.159,0.049,0.301,0.491
2005,Maryland,0.134,0.055,0.22899999999999998,0.583
2005,Massachusetts,0.135,0.046,0.275,0.545
2005,Michigan,0.16699999999999998,0.054000000000000006,0.26,0.52
2005,Minnesota,0.149,0.051,0.287,0.512
2005,Mississippi,0.18600000000000003,0.051,0.209,0.555
2005,Missouri,0.185,0.049,0.242,0.524
2005,Montana,0.145,0.047,0.285,0.523
2005,Nationwide (States and DC),0.153,0.053,0.248,0.54
2005,"Nationwide (States, DC, and Territories)",0.153,0.052000000000000005,0.244,0.541
2005,Nebraska,0.161,0.052000000000000005,0.22699999999999998,0.561
2005,Nevada,0.166,0.065,0.24,0.529
2005,New Hampshire,0.154,0.05,0.295,0.501
2005,New Jersey,0.128,0.052000000000000005,0.255,0.565
2005,New Mexico,0.146,0.069,0.244,0.541
2005,New York,0.146,0.059000000000000004,0.256,0.54
2005,North Carolina,0.171,0.055,0.23600000000000002,0.5379999999999999
2005,North Dakota,0.15,0.052000000000000005,0.255,0.544
2005,Ohio,0.17600000000000002,0.048,0.258,0.519
2005,Oklahoma,0.19,0.06,0.24,0.509
2005,Oregon,0.134,0.051,0.27399999999999997,0.54
2005,Pennsylvania,0.179,0.057,0.254,0.51
2005,Puerto Rico,0.079,0.052000000000000005,0.16899999999999998,0.7
2005,Rhode Island,0.153,0.044000000000000004,0.28800000000000003,0.514
2005,South Carolina,0.17,0.055,0.244,0.531
2005,South Dakota,0.138,0.06,0.254,0.5479999999999999
2005,Tennessee,0.204,0.063,0.22,0.513
2005,Texas,0.132,0.068,0.21,0.59
2005,Utah,0.085,0.03,0.16,0.725
2005,Vermont,0.14400000000000002,0.049,0.308,0.5
2005,Virginia,0.153,0.053,0.24100000000000002,0.552
2005,Virgin Islands,0.053,0.027999999999999997,0.128,0.7909999999999999
2005,Washington,0.125,0.05,0.273,0.551
2005,West Virginia,0.213,0.054000000000000006,0.243,0.49
2005,Wisconsin,0.159,0.049,0.261,0.532
2005,Wyoming,0.163,0.051,0.267,0.519
2004,Alabama,0.187,0.061,0.209,0.5429999999999999
2004,Alaska,0.16399999999999998,0.085,0.24,0.512
2004,Arizona,0.135,0.051,0.245,0.57
2004,Arkansas,0.19399999999999998,0.062,0.247,0.498
2004,California,0.1,0.047,0.242,0.611
2004,Colorado,0.138,0.062,0.244,0.556
2004,Connecticut,0.132,0.049,0.3,0.519
2004,Delaware,0.188,0.055999999999999994,0.252,0.505
2004,District of Columbia,0.125,0.084,0.192,0.599
2004,Florida,0.146,0.057,0.258,0.539
2004,Georgia,0.15,0.05,0.209,0.591
2004,Idaho,0.134,0.040999999999999995,0.23399999999999999,0.5920000000000001
2004,Illinois,0.154,0.068,0.215,0.562
2004,Indiana,0.195,0.053,0.226,0.525
2004,Iowa,0.163,0.046,0.214,0.578
2004,Kansas,0.153,0.045,0.217,0.585
2004,Kentucky,0.23,0.045,0.204,0.521
2004,Louisiana,0.16899999999999998,0.066,0.2,0.565
2004,Maine,0.17,0.039,0.313,0.478
2004,Maryland,0.146,0.05,0.23,0.575
2004,Massachusetts,0.13699999999999998,0.048,0.26899999999999996,0.546
2004,Michigan,0.172,0.061,0.252,0.516
2004,Minnesota,0.152,0.055,0.268,0.525
2004,Mississippi,0.18100000000000002,0.065,0.193,0.562
2004,Missouri,0.185,0.055999999999999994,0.242,0.517
2004,Montana,0.158,0.046,0.251,0.545
2004,Nationwide (States and DC),0.158,0.054000000000000006,0.24100000000000002,0.546
2004,"Nationwide (States, DC, and Territories)",0.156,0.054000000000000006,0.24,0.55
2004,Nebraska,0.149,0.054000000000000006,0.212,0.586
2004,Nevada,0.165,0.068,0.244,0.523
2004,New Hampshire,0.165,0.051,0.285,0.498
2004,New Jersey,0.13,0.057999999999999996,0.244,0.568
2004,New Mexico,0.132,0.071,0.24100000000000002,0.556
2004,New York,0.142,0.057,0.242,0.5589999999999999
2004,North Carolina,0.17600000000000002,0.055,0.212,0.556
2004,North Dakota,0.14800000000000002,0.051,0.23600000000000002,0.565
2004,Ohio,0.20800000000000002,0.05,0.221,0.52
2004,Oklahoma,0.19899999999999998,0.062,0.225,0.514
2004,Oregon,0.14300000000000002,0.057999999999999996,0.247,0.5529999999999999
2004,Pennsylvania,0.175,0.053,0.239,0.534
2004,Puerto Rico,0.08199999999999999,0.044000000000000004,0.152,0.722
2004,Rhode Island,0.158,0.055,0.28800000000000003,0.499
